service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20150101,20701231
2,1,1,1,1,1,1,1,20150101,20701231
3,1,1,1,1,1,1,1,20150101,20701231
4,1,1,1,1,1,1,1,20150101,20701231
5,1,1,1,1,1,1,1,20150101,20701231
6,1,1,1,1,1,1,1,20150101,20701231
7,1,1,1,1,1,1,1,20150101,20701231
8,1,1,1,1,1,1,1,20150101,20701231
9,1,1,1,1,1,1,1,20150101,20701231
10,1,1,1,1,1,1,1,20150101,20701231
11,1,1,1,1,1,1,1,20150101,20701231
12,1,1,1,1,1,1,1,20150101,20701231
13,1,1,1,1,1,1,1,20150101,20701231
14,1,1,1,1,1,1,1,20150101,20701231
