"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type","shape_dist_traveled"
"1","09:00:00","09:00:00","2","1","0","0","0"
"1","10:00:00","10:15:00","4","2","0","0","90000"
"1","11:35:00","11:35:00","1","3","0","0","240000"
"2","15:00:00","15:00:00","2","1","0","0","0"
"2","16:00:00","16:15:00","4","2","0","0","90000"
"2","17:35:00","17:35:00","1","3","0","0","240000"
"3","11:30:00","11:30:00","3","1","0","0","0"
"3","13:20:00","13:20:00","1","2","0","0","147000"
"4","18:00:00","18:00:00","3","1","0","0","0"
"4","19:20:00","19:20:00","1","2","0","0","147000"
"5","10:15:00","10:15:00","5","1","0","0","0"
"5","11:15:00","11:15:00","1","2","0","0","90000"
"6","14:15:00","14:15:00","5","1","0","0","0"
"6","15:15:00","15:15:00","1","2","0","0","90000"
"7","10:10:00","10:10:00","5","1","0","0","0"
"7","13:10:00","13:10:00","2","2","0","0","300000"
"8","12:00:00","12:00:00","1","1","0","0","0"
"8","13:20:00","13:35:00","4","2","0","0","130000"
"8","14:35:00","14:35:00","2","3","0","0","240000"
"9","17:00:00","17:00:00","1","1","0","0","0"
"9","18:20:00","18:35:00","4","2","0","0","130000"
"9","19:35:00","19:35:00","1","3","0","0","240000"
"10","14:00:00","14:00:00","1","1","0","0","0"
"10","15:50:00","15:50:00","3","2","0","0","147000"
"11","20:30:00","20:30:00","1","1","0","0","0"
"11","21:50:00","21:50:00","3","2","0","0","147000"
"12","12:00:00","12:00:00","1","1","0","0","0"
"12","13:00:00","13:00:00","5","2","0","0","90000"
"13","16:00:00","16:00:00","1","1","0","0","0"
"13","17:00:00","17:00:00","5","2","0","0","90000"
"14","14:10:00","14:10:00","2","1","0","0","0"
"14","17:10:00","17:10:00","5","2","0","0","300000"
"15","07:00:00","07:00:00","1","1","0","0","0"
"15","10:50:00","10:50:00","8","2","1","1","400000"
"15","10:55:00","10:55:00","9","3","1","1","401000"
"15","12:00:00","12:00:00","6","4","0","0","490000"
"15","13:00:00","13:00:00","7","5","0","0","570000"
"16","14:00:00","14:00:00","7","1","0","0","0"
"16","15:00:00","15:00:00","6","2","0","0","80000"
"16","16:00:00","16:00:00","9","3","1","1","170000"
"16","16:05:00","16:05:00","8","4","1","1","171000"
"16","20:00:00","20:00:00","1","5","0","0","570000"
"17","8:00:00","8:00:00","3","1","0","0","0"
"17","09:50:00","09:50:00","4","2","0","0","140000"
"17","12:10:00","12:10:00","10","3","1","1","340000"
"17","12:15:00","12:15:00","11","4","1","1","341000"
"17","12:45:00","12:45:00","12","5","0","0","360000"
"17","13:40:00","13:40:00","13","6","0","0","440000"
"17","15:10:00","15:10:00","15","7","1","1","545000"
"17","15:15:00","15:15:00","14","8","1","1","546000"
"17","16:40:00","16:40:00","7","9","0","0","645000"
"18","9:00:00","9:00:00","7","1","0","0","0"
"18","10:25:00","10:25:00","14","2","1","1","100000"
"18","10:30:00","10:30:00","15","3","1","1","101000"
"18","12:00:00","12:00:00","13","4","0","0","205000"
"18","12:55:00","12:55:00","12","5","0","0","285000"
"18","13:25:00","13:25:00","11","6","1","1","305000"
"18","13:30:00","13:30:00","10","7","1","1","306000"
"18","15:50:00","15:50:00","4","8","0","0","506000"
"18","17:40:00","17:40:00","3","9","0","0","645000"
"19","10:00:00","10:00:00","2","1","0","0","0"
"19","11:30:00","11:30:00","10","2","1","1","11000"
"19","12:00:00","12:00:00","12","3","0","0","132000"
"20","13:00:00","13:00:00","12","1","0","0","0"
"20","13:30:00","13:30:00","10","2","1","1","22000"
"20","15:00:00","15:00:00","2","3","0","0","132000"
"21","12:00:00","12:00:00","2","1","0","0","0"
"21","14:30:00","14:30:00","13","2","0","0","210000"
"22","15:30:00","15:30:00","13","1","0","0","0"
"22","18:00:00","18:00:00","2","2","0","0","210000"
"25","10:00:00","10:00:00","2","1","0","0","0"
"25","11:50:00","11:50:00","12","2","0","0","132000"
"26","17:00:00","17:00:00","12","1","0","0","0"
"26","18:50:00","18:50:00","2","2","0","0","132000"
"23","12:00:00","12:00:00","12","1","0","0","0"
"23","12:55:00","12:55:00","13","2","0","0","80000"
"24","16:00:00","16:00:00","13","1","0","0","0"
"24","16:55:00","16:55:00","12","2","0","0","80000"
"27","13:00:00","13:00:00","13","1","0","0","0"
"27","14:30:00","14:30:00","14","2","1","1","105000"
"27","16:00:00","16:00:00","7","3","0","0","205000"
"27","17:00:00","17:00:00","6","4","0","0","285000"
"28","11:45:00","11:45:00","6","1","0","0","0"
"28","12:45:00","12:45:00","7","2","0","0","80000"
"28","14:15:00","14:15:00","14","3","1","1","180000"
"28","15:45:00","15:45:00","13","4","0","0","285000"
